second,detection_rows,active_tracks,reliable_near_mid_speed_rows,median_reliable_near_mid_speed_kmh
0,214,11,89,122.33
1,195,8,101,96.92
2,164,7,74,121.08
3,127,6,38,93.68
4,116,6,0,
5,92,6,16,113.39
6,123,5,23,156.50
7,125,5,22,102.28
8,111,5,25,110.23
9,101,5,25,136.44
10,99,4,1,110.91
11,72,4,4,121.67
12,75,3,23,136.14
13,79,4,40,101.42
14,104,5,39,111.04
15,90,5,45,127.39
16,125,5,21,108.41
17,96,4,0,
18,75,3,0,
19,75,3,0,
20,94,4,0,
21,101,5,19,108.28
22,121,5,43,104.97
23,126,6,37,122.26
24,141,8,26,91.27
25,152,9,25,121.17
26,150,7,22,127.97
27,155,7,0,
28,159,7,0,
29,150,6,0,
30,159,7,21,61.66
31,199,8,52,94.25
32,206,9,85,99.31
33,204,9,74,91.75
34,195,11,37,99.04
35,169,12,28,88.40
36,193,11,50,92.03
37,222,10,71,120.10
38,227,10,49,100.62
39,203,9,29,78.71
40,167,7,45,96.22
41,170,8,91,104.18
42,171,8,78,98.19
43,173,9,67,95.00
44,177,9,37,101.47
45,142,7,31,99.27
46,125,5,9,81.48
47,111,6,21,82.76
48,100,4,37,120.94
49,112,5,24,99.21
50,99,4,0,
51,79,4,4,113.95
52,97,4,41,111.80
53,116,5,47,122.00
54,122,5,21,121.97
55,107,7,0,
56,100,7,14,120.77
57,153,9,19,135.44
58,176,8,35,109.49
59,196,11,23,122.09
60,8,8,2,89.13
