track_id,label,threshold_kmh,event_start_sec,event_end_sec,event_duration_sec,rows_above_threshold,reliable_near_mid_speed_rows,track_median_reliable_speed_kmh,median_above_threshold_kmh,max_reliable_speed_kmh,dominant_segment
1,car,105.00,0.04,1.16,1.12,28,33,128.05,129.54,177.23,near_two_lane
2,car,105.00,0.08,1.40,1.32,29,51,109.29,146.44,168.70,mid_two_lane
5,car,105.00,7.72,10.00,2.28,42,59,121.19,131.73,175.94,mid_two_lane
7,car,105.00,1.76,3.32,1.56,37,66,110.33,124.06,150.92,mid_two_lane
10,car,105.00,5.36,7.20,1.84,42,53,121.28,126.86,179.85,mid_two_lane
12,car,105.00,13.24,15.68,2.44,38,65,110.30,121.57,152.34,mid_two_lane
13,car,105.00,11.84,13.80,1.96,46,48,125.55,126.61,178.42,mid_two_lane
14,car,105.00,14.44,16.40,1.96,39,59,115.32,130.03,176.06,mid_two_lane
16,car,105.00,22.44,24.36,1.92,37,64,109.84,122.06,153.90,mid_two_lane
17,car,105.00,21.60,23.36,1.76,37,46,118.27,121.23,178.16,mid_two_lane
18,car,105.00,25.20,26.80,1.60,40,62,118.56,126.72,164.52,mid_two_lane
39,motorcycle,105.00,40.28,42.16,1.88,33,60,108.08,138.02,176.49,mid_two_lane
40,car,105.00,48.08,49.36,1.28,31,61,105.19,130.88,174.22,mid_two_lane
43,car,105.00,52.32,54.76,2.44,38,63,114.16,125.42,154.85,mid_two_lane
45,car,105.00,51.88,53.72,1.84,42,50,122.96,125.83,178.69,mid_two_lane
47,car,105.00,56.48,58.36,1.88,40,48,122.05,124.26,176.45,mid_two_lane
48,car,105.00,58.44,60.00,1.56,36,43,117.85,119.76,175.83,mid_two_lane
