track_id,frame_start,frame_end,elapsed_sec,reference_distance_m,reference_kmh,system_median_kmh,abs_error_kmh,rel_error_pct,speed_rows_used,segment
2,24.8,49.8,0.999,25.0,90.08,95.06,4.98,5.53,27,near_two_lane
7,65.7,86.1,0.814,25.0,110.56,118.64,8.08,7.31,23,near_two_lane
10,166.1,187.4,0.855,25.0,105.3,114.82,9.52,9.04,22,near_two_lane
5,231.2,249.3,0.724,25.0,124.37,133.02,8.65,6.96,20,near_two_lane
13,326.6,346.7,0.804,25.0,111.87,118.76,6.88,6.15,21,near_two_lane
12,375.2,395.2,0.802,25.0,112.26,123.22,10.96,9.76,21,near_two_lane
14,397.3,419.3,0.88,25.0,102.24,110.36,8.12,7.94,23,near_two_lane
18,651.1,670.3,0.769,25.0,117.1,126.86,9.76,8.34,21,near_two_lane
20,803.2,829.7,1.061,25.0,84.86,90.01,5.15,6.07,28,near_two_lane
19,817.0,841.3,0.969,25.0,92.87,93.61,0.74,0.8,26,near_two_lane
23,835.1,860.6,1.019,25.0,88.3,89.82,1.52,1.72,27,near_two_lane
22,868.7,890.8,0.885,25.0,101.65,100.67,0.98,0.97,24,near_two_lane
26,937.5,958.2,0.826,25.0,108.99,109.42,0.43,0.39,23,near_two_lane
33,966.5,992.2,1.031,25.0,87.26,90.76,3.5,4.01,28,near_two_lane
29,1079.7,1105.3,1.022,25.0,88.08,94.92,6.83,7.76,25,near_two_lane
40,1224.1,1247.3,0.927,25.0,97.13,99.21,2.08,2.14,24,near_two_lane
45,1327.9,1347.7,0.795,25.0,113.25,120.34,7.1,6.27,21,near_two_lane
43,1351.0,1370.0,0.758,25.0,118.71,121.8,3.08,2.6,20,near_two_lane
