lane_or_region_id,sample_rows,sample_row_share_pct
30,3507,7.01
40,3206,6.41
23,3121,6.24
1,2885,5.77
25,2828,5.66
39,2646,5.29
6,2623,5.25
29,2592,5.18
34,2498,5.00
41,2113,4.23
14,1905,3.81
27,1498,3.00
15,1470,2.94
49,1445,2.89
46,1207,2.41
47,1150,2.30
33,1062,2.12
9,927,1.85
18,913,1.83
7,883,1.77
3,684,1.37
37,681,1.36
44,677,1.35
17,672,1.34
10,666,1.33
32,663,1.33
4,590,1.18
11,577,1.15
42,510,1.02
45,488,0.98
2,474,0.95
5,428,0.86
48,413,0.83
36,384,0.77
24,317,0.63
31,293,0.59
43,218,0.44
8,185,0.37
19,138,0.28
38,131,0.26
16,127,0.25
26,94,0.19
12,62,0.12
20,18,0.04
21,16,0.03
22,15,0.03
